bartender,bar,drink_n,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9
Aaron Wall,Homeboy (London),Whiskey Smash,40ml of Roe & Co Irish Whiskey,20ml of Noilly Prat Dry Vermouth,20ml of Mint and Spinach Syrup,3 Dashes of Orange Bitters,NA,NA,NA,NA,NA
Aaron Wall,Homeboy (London),Wogan,40ml of Teeling Small Batch Irish Whiskey,10ml of Apricot Brandy,15ml of Lime,15ml of Simple Syrup,3 Dashes of Saline Solution,NA,NA,NA,NA
Adam Caron,Symbiose (Bordeaux),Perfect Manhattan,45ml of Rye Whiskey 100 Proof Rittenhouse,25ml of La Quintinye Dry Vermouth,15ml of Pineau des Charentes Rémi Landier 10 Yr Old,10ml of House Red Blend Vermouth,2 dashes of Angostura bitters,1/2barspoon of Luxardo Maraschino,NA,NA,NA
Adam Caron,Symbiose (Bordeaux),Krispies Trip,25ml of Puffed Rice Syrup,15ml of Lemon Juice,15ml of Sochu infused with Genmaicha Yama,30ml of Floc de Gascogne infused with Pandan,20ml of Aquafaba,30ml of Gin,NA,NA,NA
Adam McMahon,Frontier Room (London),Old Fashioned,50ml of Eagle Rare ten year bourbon,1 dash of Angustura bitters,5 ml of demerara sugar syrup,NA,NA,NA,NA,NA,NA
Adam McMahon,Frontier Room (London),Black Pearl,50ml of Eldorado 12,25ml of Meantime Stout,10ml of demerara sugar,Hickory smoke,NA,NA,NA,NA,NA
Aidan Bowie,NA,Garden Lady,30ml of Tanqueray Tne Gin,10ml of Seedlip Garden 108,25ml of Egg White,15ml of Lemon,10ml of Lime,10ml of Cocchi Americano infused with Hops,10ml of Simple Syrup,3 dashes of Absinthe,NA
Aidan Bowie,NA,Smoken Miso,50ml of Johnnie Walker Gold Label,5ml of Banana Liqueur,5ml of Roasted Miso Syrup,3 dashes of Smoked Chocolate Bitters,NA,NA,NA,NA,NA
D,NA,Garden Lady,30ml of Tanqueray Tne Gin,10ml of Seedlip Garden 108,25ml of Egg White,15ml of Lemon,10ml of Lime,10ml of Cocchi Americano infused with Hops,10ml of Simple Syrup,3 dashes of Absinthe,NA
D,NA,Smoken Miso,50ml of Johnnie Walker Gold Label,5ml of Banana Liqueur,5ml of Roasted Miso Syrup,3 dashes of Smoked Chocolate Bitters,NA,NA,NA,NA,NA
Alberto Fernandez,Hotel Alfonso XIII The Luxury Collection (Seville),The Last Cocktail (French 75 twist),50ml of Gin Mare,30ml of Fresh Lemon Juice,1 Barspoon of Rosemary Infusion,35ml of Pear Juice,Top with Champagne,NA,NA,NA,NA
Alberto Fernandez,Hotel Alfonso XIII The Luxury Collection (Seville),El viajero,45ml of Ciroc Vodka,12.5ml of Grand Marnier Liqueur,45ml of Lemon Verbena,25ml of Lemon Juice,10ml of Cardamon Syrup,NA,NA,NA,NA
Alberto Martinez,1862 Dry Bar (Madrid),The Last Cocktail (French 75 twist),50ml of Gin Mare,30ml of Fresh Lemon Juice,1 Barspoon of Rosemary Infusion,35ml of Pear Juice,Top with Champagne,NA,NA,NA,NA
Alberto Martinez,1862 Dry Bar (Madrid),El viajero,45ml of Ciroc Vodka,12.5ml of Grand Marnier Liqueur,45ml of Lemon Verbena,25ml of Lemon Juice,10ml of Cardamon Syrup,NA,NA,NA,NA
Aleksandra Dziubak,Marlowe Bar (Barcelona),Dirty Martini,80ml of Jackal Vodka,4 dashes of Noilly Prat Dry Vermouth,3 Crushed Olives,NA,NA,NA,NA,NA,NA
Aleksandra Dziubak,Marlowe Bar (Barcelona),Pan con Tomate,60ml of Clarified mix of Tomato Juice and Bread Syrup,40ml of Kensho Spanish Sake,20ml of Tio Pepe Fino Sherry,10ml of Lacto Fermented Water,NA,NA,NA,NA,NA
